number,season,episode,airdate,title,tvmaze link
124,7,17,23 Apr 17,"Zero Larp Thirty","https://www.tvmaze.com/episodes/1116408/bobs-burgers-7x17-zero-larp-thirty"
125,7,18,23 Apr 17,"The Laser-inth","https://www.tvmaze.com/episodes/1117449/bobs-burgers-7x18-the-laser-inth"
126,7,19,30 Apr 17,"Thelma & Louise Except Thelma is Linda","https://www.tvmaze.com/episodes/1117450/bobs-burgers-7x19-thelma-louise-except-thelma-is-linda"
127,7,20,07 May 17,"Mom, Lies and Videotapes","https://www.tvmaze.com/episodes/1117451/bobs-burgers-7x20-mom-lies-and-videotapes"
128,7,21,21 May 17,"Paraders of the Lost Float","https://www.tvmaze.com/episodes/1124554/bobs-burgers-7x21-paraders-of-the-lost-float"
129,7,22,11 Jun 17,"Into the Mild","https://www.tvmaze.com/episodes/1176125/bobs-burgers-7x22-into-the-mild"
130,8,1,01 Oct 17,"Brunchsquatch","https://www.tvmaze.com/episodes/1224487/bobs-burgers-8x01-brunchsquatch"
131,8,2,15 Oct 17,"The Silence of the Louise","https://www.tvmaze.com/episodes/1312558/bobs-burgers-8x02-the-silence-of-the-louise"
132,8,3,22 Oct 17,"The Wolf of Wharf Street","https://www.tvmaze.com/episodes/1318363/bobs-burgers-8x03-the-wolf-of-wharf-street"
133,8,4,05 Nov 17,"Sit Me Baby One More Time","https://www.tvmaze.com/episodes/1330033/bobs-burgers-8x04-sit-me-baby-one-more-time"
134,8,5,19 Nov 17,"Thanks-Hoarding","https://www.tvmaze.com/episodes/1335906/bobs-burgers-8x05-thanks-hoarding"
135,8,6,10 Dec 17,"The Bleakening, Part 1","https://www.tvmaze.com/episodes/1348799/bobs-burgers-8x06-the-bleakening-part-1"
136,8,7,10 Dec 17,"The Bleakening, Part 2","https://www.tvmaze.com/episodes/1357207/bobs-burgers-8x07-the-bleakening-part-2"
137,8,8,14 Jan 18,"V for Valentine-detta","https://www.tvmaze.com/episodes/1376264/bobs-burgers-8x08-v-for-valentine-detta"
138,8,9,11 Mar 18,"Y Tu Ga-Ga Tambien","https://www.tvmaze.com/episodes/1400868/bobs-burgers-8x09-y-tu-ga-ga-tambien"
139,8,10,18 Mar 18,"The Secret Ceramics Room of Secrets","https://www.tvmaze.com/episodes/1415702/bobs-burgers-8x10-the-secret-ceramics-room-of-secrets"
140,8,11,25 Mar 18,"Sleeping with the Frenemy","https://www.tvmaze.com/episodes/1418895/bobs-burgers-8x11-sleeping-with-the-frenemy"
141,8,12,01 Apr 18,"The Hurt Soccer","https://www.tvmaze.com/episodes/1422459/bobs-burgers-8x12-the-hurt-soccer"
142,8,13,08 Apr 18,"Cheer Up Sleepy Gene","https://www.tvmaze.com/episodes/1426535/bobs-burgers-8x13-cheer-up-sleepy-gene"
143,8,14,15 Apr 18,"The Trouble with Doubles","https://www.tvmaze.com/episodes/1430386/bobs-burgers-8x14-the-trouble-with-doubles"
144,8,15,22 Apr 18,"Go Tina on the Mountain","https://www.tvmaze.com/episodes/1430387/bobs-burgers-8x15-go-tina-on-the-mountain"
145,8,16,29 Apr 18,"Are You There Bob? It's Me, Birthday","https://www.tvmaze.com/episodes/1430388/bobs-burgers-8x16-are-you-there-bob-its-me-birthday"
146,8,17,06 May 18,"Boywatch","https://www.tvmaze.com/episodes/1430389/bobs-burgers-8x17-boywatch"
147,8,18,13 May 18,"As I Walk Through the Alley of the Shadow of Ramps","https://www.tvmaze.com/episodes/1432071/bobs-burgers-8x18-as-i-walk-through-the-alley-of-the-shadow-of-ramps"
148,8,19,13 May 18,"Mo Mommy Mo Problems","https://www.tvmaze.com/episodes/1432072/bobs-burgers-8x19-mo-mommy-mo-problems"
149,8,20,20 May 18,"Mission Impos-slug-ble","https://www.tvmaze.com/episodes/1432073/bobs-burgers-8x20-mission-impos-slug-ble"
150,8,21,20 May 18,"Something Old, Something New, Something Bob Caters for You","https://www.tvmaze.com/episodes/1432074/bobs-burgers-8x21-something-old-something-new-something-bob-caters-for-you"
151,9,1,30 Sep 18,"Just One of the Boyz 4 Now for Now","https://www.tvmaze.com/episodes/1486782/bobs-burgers-9x01-just-one-of-the-boyz-4-now-for-now"
152,9,2,07 Oct 18,"The Taking of Funtime One Two Three","https://www.tvmaze.com/episodes/1529393/bobs-burgers-9x02-the-taking-of-funtime-one-two-three"
153,9,3,14 Oct 18,"Tweentrepreneurs","https://www.tvmaze.com/episodes/1533536/bobs-burgers-9x03-tweentrepreneurs"
154,9,4,21 Oct 18,"Nightmare on Ocean Avenue Street","https://www.tvmaze.com/episodes/1536861/bobs-burgers-9x04-nightmare-on-ocean-avenue-street"
155,9,5,04 Nov 18,"Live and Let Fly","https://www.tvmaze.com/episodes/1544177/bobs-burgers-9x05-live-and-let-fly"
156,9,6,11 Nov 18,"Bobby Driver","https://www.tvmaze.com/episodes/1548325/bobs-burgers-9x06-bobby-driver"
157,9,7,18 Nov 18,"I Bob Your Pardon","https://www.tvmaze.com/episodes/1552639/bobs-burgers-9x07-i-bob-your-pardon"
158,9,8,25 Nov 18,"Roller? I Hardly Knew Her!","https://www.tvmaze.com/episodes/1556899/bobs-burgers-9x08-roller-i-hardly-knew-her"
159,9,9,02 Dec 18,"UFO No You Didn't","https://www.tvmaze.com/episodes/1561833/bobs-burgers-9x09-ufo-no-you-didnt"
160,9,10,09 Dec 18,"Better Off Sled","https://www.tvmaze.com/episodes/1565505/bobs-burgers-9x10-better-off-sled"
161,9,11,06 Jan 19,"Lorenzo's Oil? No, Linda's","https://www.tvmaze.com/episodes/1577671/bobs-burgers-9x11-lorenzos-oil-no-lindas"
162,9,12,13 Jan 19,"The Helen Hunt","https://www.tvmaze.com/episodes/1577742/bobs-burgers-9x12-the-helen-hunt"
163,9,13,10 Feb 19,"Bed, Bob and Beyond","https://www.tvmaze.com/episodes/1587856/bobs-burgers-9x13-bed-bob-and-beyond"
164,9,14,17 Feb 19,"Every Which Way But Goose","https://www.tvmaze.com/episodes/1587857/bobs-burgers-9x14-every-which-way-but-goose"
165,9,15,03 Mar 19,"The Fresh Princ-ipal","https://www.tvmaze.com/episodes/1610364/bobs-burgers-9x15-the-fresh-princ-ipal"
166,9,16,10 Mar 19,"Roamin' Bob-iday","https://www.tvmaze.com/episodes/1610371/bobs-burgers-9x16-roamin-bob-iday"
167,9,17,17 Mar 19,"What About Blob?","https://www.tvmaze.com/episodes/1613238/bobs-burgers-9x17-what-about-blob"
168,9,18,24 Mar 19,"If You Love It So Much, Why Don't You Marionette?","https://www.tvmaze.com/episodes/1616524/bobs-burgers-9x18-if-you-love-it-so-much-why-dont-you-marionette"
169,9,19,07 Apr 19,"Long Time Listener, First Time Bob","https://www.tvmaze.com/episodes/1623418/bobs-burgers-9x19-long-time-listener-first-time-bob"
170,9,20,28 Apr 19,"The Gene Mile","https://www.tvmaze.com/episodes/1634957/bobs-burgers-9x20-the-gene-mile"
171,9,21,05 May 19,"P.T.A. It Ain't So","https://www.tvmaze.com/episodes/1638395/bobs-burgers-9x21-pta-it-aint-so"
172,9,22,12 May 19,"Yes Without My Zeke","https://www.tvmaze.com/episodes/1638764/bobs-burgers-9x22-yes-without-my-zeke"
173,10,1,29 Sep 19,"The Ring (But Not Scary)","https://www.tvmaze.com/episodes/1674644/bobs-burgers-10x01-the-ring-but-not-scary"
174,10,2,06 Oct 19,"Boys Just Wanna Have Fungus","https://www.tvmaze.com/episodes/1715839/bobs-burgers-10x02-boys-just-wanna-have-fungus"
175,10,3,13 Oct 19,"Motor, She Boat","https://www.tvmaze.com/episodes/1718837/bobs-burgers-10x03-motor-she-boat"
176,10,4,20 Oct 19,"Pig Trouble in Little Tina","https://www.tvmaze.com/episodes/1722416/bobs-burgers-10x04-pig-trouble-in-little-tina"
177,10,5,03 Nov 19,"Legends of the Mall","https://www.tvmaze.com/episodes/1718838/bobs-burgers-10x05-legends-of-the-mall"
178,10,6,10 Nov 19,"The Hawkening: Look Who's Hawking Now","https://www.tvmaze.com/episodes/1739253/bobs-burgers-10x06-the-hawkening-look-whos-hawking-now"
179,10,7,17 Nov 19,"Land of the Loft","https://www.tvmaze.com/episodes/1744386/bobs-burgers-10x07-land-of-the-loft"
180,10,8,24 Nov 19,"Now We're Not Cooking with Gas","https://www.tvmaze.com/episodes/1749353/bobs-burgers-10x08-now-were-not-cooking-with-gas"
181,10,9,01 Dec 19,"All That Gene","https://www.tvmaze.com/episodes/1752845/bobs-burgers-10x09-all-that-gene"
182,10,10,15 Dec 19,"Have Yourself a Maily Linda Christmas","https://www.tvmaze.com/episodes/1760188/bobs-burgers-10x10-have-yourself-a-maily-linda-christmas"
183,10,11,12 Jan 20,"Drumforgiven","https://www.tvmaze.com/episodes/1785171/bobs-burgers-10x11-drumforgiven"
184,10,12,16 Feb 20,"A Fish Called Tina","https://www.tvmaze.com/episodes/1793712/bobs-burgers-10x12-a-fish-called-tina"
185,10,13,23 Feb 20,"Three Girls and a Little Wharfy","https://www.tvmaze.com/episodes/1796262/bobs-burgers-10x13-three-girls-and-a-little-wharfy"
186,10,14,01 Mar 20,"Wag the Song","https://www.tvmaze.com/episodes/1798767/bobs-burgers-10x14-wag-the-song"
187,10,15,08 Mar 20,"Yurty Rotten Scoundrels","https://www.tvmaze.com/episodes/1805079/bobs-burgers-10x15-yurty-rotten-scoundrels"
188,10,16,15 Mar 20,"Flat-Top O' the Morning to Ya","https://www.tvmaze.com/episodes/1801278/bobs-burgers-10x16-flat-top-o-the-morning-to-ya"
189,10,17,22 Mar 20,"Just the Trip","https://www.tvmaze.com/episodes/1809362/bobs-burgers-10x17-just-the-trip"
190,10,18,19 Apr 20,"Tappy Tappy Tappy Tap Tap Tap","https://www.tvmaze.com/episodes/1824337/bobs-burgers-10x18-tappy-tappy-tappy-tap-tap-tap"
191,10,19,26 Apr 20,"The Handyman Can","https://www.tvmaze.com/episodes/1829794/bobs-burgers-10x19-the-handyman-can"
192,10,20,03 May 20,"Poops!... I Didn't Do It Again","https://www.tvmaze.com/episodes/1836548/bobs-burgers-10x20-poops-i-didnt-do-it-again"
193,10,21,10 May 20,"Local She-ro","https://www.tvmaze.com/episodes/1836549/bobs-burgers-10x21-local-she-ro"
194,10,22,17 May 20,"Prank You for Being a Friend","https://www.tvmaze.com/episodes/1836552/bobs-burgers-10x22-prank-you-for-being-a-friend"
195,11,1,27 Sep 20,"Dream a Little Bob of Bob","https://www.tvmaze.com/episodes/1905831/bobs-burgers-11x01-dream-a-little-bob-of-bob"
196,11,2,04 Oct 20,"Worms of In-rear-ment","https://www.tvmaze.com/episodes/1928611/bobs-burgers-11x02-worms-of-in-rear-ment"
197,11,3,11 Oct 20,"Copa-bob-bana","https://www.tvmaze.com/episodes/1931134/bobs-burgers-11x03-copa-bob-bana"
198,11,4,01 Nov 20,"Heartbreak Hotel-oween","https://www.tvmaze.com/episodes/1937532/bobs-burgers-11x04-heartbreak-hotel-oween"
199,11,5,08 Nov 20,"Fast Time Capsules at Wagstaff School","https://www.tvmaze.com/episodes/1945580/bobs-burgers-11x05-fast-time-capsules-at-wagstaff-school"
200,11,6,15 Nov 20,"Bob Belcher and the Terrible, Horrible, No Good, Very Bad Kids","https://www.tvmaze.com/episodes/1950705/bobs-burgers-11x06-bob-belcher-and-the-terrible-horrible-no-good-very-bad-kids"
201,11,7,22 Nov 20,"Diarrhea of a Poopy Kid","https://www.tvmaze.com/episodes/1961059/bobs-burgers-11x07-diarrhea-of-a-poopy-kid"
202,11,8,29 Nov 20,"The Terminalator II: Terminals of Endearment","https://www.tvmaze.com/episodes/1964610/bobs-burgers-11x08-the-terminalator-ii-terminals-of-endearment"
203,11,9,06 Dec 20,"Mommy Boy","https://www.tvmaze.com/episodes/1968976/bobs-burgers-11x09-mommy-boy"
