number,season,episode,airdate,title,tvmaze link
97,2,36,20 Jan 02,"Adventure in the Country of Sand! The Demons that Live in the Scorching Earth","https://www.tvmaze.com/episodes/256221/one-piece-2x36-adventure-in-the-country-of-sand-the-demons-that-live-in-the-scorching-earth"
98,2,37,27 Jan 02,"Here Come the Desert Pirates! The Men who Live Free","https://www.tvmaze.com/episodes/256222/one-piece-2x37-here-come-the-desert-pirates-the-men-who-live-free"
99,2,38,03 Feb 02,"Spirit of the Fakes! Heart of the Rebel Army, Kamyu!","https://www.tvmaze.com/episodes/256223/one-piece-2x38-spirit-of-the-fakes-heart-of-the-rebel-army-kamyu"
100,2,39,10 Feb 02,"Rebel Warrior Kohza! The Dream Sworn to Vivi!","https://www.tvmaze.com/episodes/256224/one-piece-2x39-rebel-warrior-kohza-the-dream-sworn-to-vivi"
101,2,40,17 Feb 02,"Showdown in a Heat Haze! Ace vs. the Gallant Scorpion!","https://www.tvmaze.com/episodes/256225/one-piece-2x40-showdown-in-a-heat-haze-ace-vs-the-gallant-scorpion"
102,2,41,24 Feb 02,"Ruins and Lost Ones! Vivi, Comrades, and the Shape of a Country","https://www.tvmaze.com/episodes/256226/one-piece-2x41-ruins-and-lost-ones-vivi-comrades-and-the-shape-of-a-country"
103,2,42,03 Mar 02,"At Spiders Cafe: The Enemy Ringleaders Meet at 8 o'clock","https://www.tvmaze.com/episodes/256227/one-piece-2x42-at-spiders-cafe-the-enemy-ringleaders-meet-at-8-oclock"
104,2,43,10 Mar 02,"Luffy vs. Vivi! A Tearful Vow for Comrades","https://www.tvmaze.com/episodes/256228/one-piece-2x43-luffy-vs-vivi-a-tearful-vow-for-comrades"
105,2,44,17 Mar 02,"The Alabasta War Front! City of Dreams, Rainbase","https://www.tvmaze.com/episodes/256229/one-piece-2x44-the-alabasta-war-front-city-of-dreams-rainbase"
106,2,45,25 Mar 02,"Trap in a Desperate Situation! Breaking Into Rain Dinners","https://www.tvmaze.com/episodes/256230/one-piece-2x45-trap-in-a-desperate-situation-breaking-into-rain-dinners"
107,2,46,14 Apr 02,"Operation Utopia Commences! The Wave of Rebellion Begins to Move","https://www.tvmaze.com/episodes/256231/one-piece-2x46-operation-utopia-commences-the-wave-of-rebellion-begins-to-move"
108,2,47,21 Apr 02,"The Fearsome Bananawani and Mr. Prince","https://www.tvmaze.com/episodes/256232/one-piece-2x47-the-fearsome-bananawani-and-mr-prince"
109,2,48,28 Apr 02,"The Key to Turning the Tide and a Great Escape! Doru Doru Ball!","https://www.tvmaze.com/episodes/256233/one-piece-2x48-the-key-to-turning-the-tide-and-a-great-escape-doru-doru-ball"
110,2,49,06 May 02,"Merciless Fight to the Death! Luffy vs. Crocodile","https://www.tvmaze.com/episodes/256234/one-piece-2x49-merciless-fight-to-the-death-luffy-vs-crocodile"
111,2,50,12 May 02,"The Miracle Sprint! Alabasta the Animal Land","https://www.tvmaze.com/episodes/256235/one-piece-2x50-the-miracle-sprint-alabasta-the-animal-land"
112,2,51,19 May 02,"Rebel Army vs. Royal Army! The Battle will be in Alubarna!","https://www.tvmaze.com/episodes/256236/one-piece-2x51-rebel-army-vs-royal-army-the-battle-will-be-in-alubarna"
113,2,52,03 Jun 02,"Alubarna is Crying! Fierce Fight of Captain Carue!","https://www.tvmaze.com/episodes/256237/one-piece-2x52-alubarna-is-crying-fierce-fight-of-captain-carue"
114,2,53,09 Jun 02,"Swear on Your Comrade's Dream! Battle at Molehill 4th Avenue","https://www.tvmaze.com/episodes/256238/one-piece-2x53-swear-on-your-comrades-dream-battle-at-molehill-4th-avenue"
115,2,54,16 Jun 02,"Today's Grand Performance! Mane Mane Montage!","https://www.tvmaze.com/episodes/256239/one-piece-2x54-todays-grand-performance-mane-mane-montage"
116,2,55,23 Jun 02,"Transforming Into Nami! Bon Clay's Hard-Hitting Ballet Kenpo","https://www.tvmaze.com/episodes/256240/one-piece-2x55-transforming-into-nami-bon-clays-hard-hitting-ballet-kenpo"
117,2,56,30 Jun 02,"Nami's Whirlwind Warning! Clima Tact Explosion","https://www.tvmaze.com/episodes/256241/one-piece-2x56-namis-whirlwind-warning-clima-tact-explosion"
118,2,57,14 Jul 02,"Secret of the Royal Family! The Ancient Weapon, Pluton","https://www.tvmaze.com/episodes/256242/one-piece-2x57-secret-of-the-royal-family-the-ancient-weapon-pluton"
119,2,58,21 Jul 02,"Essence of a Mighty Sword! The Power to Cut Steel and the Breath of All Things","https://www.tvmaze.com/episodes/256243/one-piece-2x58-essence-of-a-mighty-sword-the-power-to-cut-steel-and-the-breath-of-all-things"
120,2,59,04 Aug 02,"The Battle is Over! Kohza Flies the White Flag","https://www.tvmaze.com/episodes/256244/one-piece-2x59-the-battle-is-over-kohza-flies-the-white-flag"
121,2,60,11 Aug 02,"Vivi's Voice Goes Unheard! A Hero Descends!","https://www.tvmaze.com/episodes/256245/one-piece-2x60-vivis-voice-goes-unheard-a-hero-descends"
122,2,61,18 Aug 02,"Sand Crocodile and Water Luffy! Death Match: Round 2","https://www.tvmaze.com/episodes/256246/one-piece-2x61-sand-crocodile-and-water-luffy-death-match-round-2"
123,2,62,25 Aug 02,"Smells Like Croc! Run to the Tomb of the Royal Family, Luffy!","https://www.tvmaze.com/episodes/256247/one-piece-2x62-smells-like-croc-run-to-the-tomb-of-the-royal-family-luffy"
124,2,63,01 Sep 02,"The Nightmare Draws Near! Secret Base of the Sand Sand Clan","https://www.tvmaze.com/episodes/256248/one-piece-2x63-the-nightmare-draws-near-secret-base-of-the-sand-sand-clan"
125,2,64,08 Sep 02,"Magnificent Wings! My Name is Pell, Guardian Spirit of the Kingdom","https://www.tvmaze.com/episodes/256249/one-piece-2x64-magnificent-wings-my-name-is-pell-guardian-spirit-of-the-kingdom"
126,2,65,18 Sep 02,"I Will Surpass You! Rain Falls on Alabasta!","https://www.tvmaze.com/episodes/256250/one-piece-2x65-i-will-surpass-you-rain-falls-on-alabasta"
127,2,66,06 Oct 02,"A Farewell to Arms! Pirates and a Little Justice","https://www.tvmaze.com/episodes/256251/one-piece-2x66-a-farewell-to-arms-pirates-and-a-little-justice"
128,2,67,06 Oct 02,"The Pirates' Banquet and Operation Escape Alabasta!","https://www.tvmaze.com/episodes/256252/one-piece-2x67-the-pirates-banquet-and-operation-escape-alabasta"
129,2,68,20 Oct 02,"Everything Began that Day! Vivi Tells of her Adventures!","https://www.tvmaze.com/episodes/256253/one-piece-2x68-everything-began-that-day-vivi-tells-of-her-adventures"
130,2,69,27 Oct 02,"Beware her Scent! The Seventh One is Nico Robin!","https://www.tvmaze.com/episodes/256254/one-piece-2x69-beware-her-scent-the-seventh-one-is-nico-robin"
131,2,70,03 Nov 02,"The First Patient! Anecdote of the Rumble Ball","https://www.tvmaze.com/episodes/256255/one-piece-2x70-the-first-patient-anecdote-of-the-rumble-ball"
132,2,71,10 Nov 02,"The Navigator's Mutiny! For an Unwavering Dream!","https://www.tvmaze.com/episodes/256256/one-piece-2x71-the-navigators-mutiny-for-an-unwavering-dream"
133,2,72,17 Nov 02,"Inherited Recipe! Sanji the Curry Expert","https://www.tvmaze.com/episodes/256257/one-piece-2x72-inherited-recipe-sanji-the-curry-expert"
134,2,73,24 Nov 02,"I'll Make it Bloom! Manly Usopp's Eight-Shaku Ball","https://www.tvmaze.com/episodes/256258/one-piece-2x73-ill-make-it-bloom-manly-usopps-eight-shaku-ball"
135,2,74,01 Dec 02,"Infamous Pirate Hunter! The Wandering Swordsman, Zoro","https://www.tvmaze.com/episodes/256259/one-piece-2x74-infamous-pirate-hunter-the-wandering-swordsman-zoro"
136,3,1,08 Dec 02,"Zenny Lives on Goat Island and There's a Pirate Ship on his Mountain!","https://www.tvmaze.com/episodes/256260/one-piece-3x01-zenny-lives-on-goat-island-and-theres-a-pirate-ship-on-his-mountain"
137,3,2,15 Dec 02,"How's That for Profit? Money Lender Zenny's Ambition!","https://www.tvmaze.com/episodes/256261/one-piece-3x02-hows-that-for-profit-money-lender-zennys-ambition"
138,3,3,22 Dec 02,"Where the Island's Treasure Lies! Zenny Pirates Full Charge!","https://www.tvmaze.com/episodes/256262/one-piece-3x03-where-the-islands-treasure-lies-zenny-pirates-full-charge"
139,3,4,05 Jan 03,"Legend of the Rainbow Mist! Ruluka Island and the Old Man Henzo","https://www.tvmaze.com/episodes/256263/one-piece-3x04-legend-of-the-rainbow-mist-ruluka-island-and-the-old-man-henzo"
140,3,5,12 Jan 03,"Inhabitants of Neverland! The Pumpkin Pirates!","https://www.tvmaze.com/episodes/256264/one-piece-3x05-inhabitants-of-neverland-the-pumpkin-pirates"
141,3,6,19 Jan 03,"A Longing for Home! The Inescapable Pirate Graveyard!","https://www.tvmaze.com/episodes/256265/one-piece-3x06-a-longing-for-home-the-inescapable-pirate-graveyard"
142,3,7,26 Jan 03,"Frantic Struggle! Whetton's Plans and the Rainbow Tower","https://www.tvmaze.com/episodes/256266/one-piece-3x07-frantic-struggle-whettons-plans-and-the-rainbow-tower"
143,3,8,02 Feb 03,"And Then the Legend Begins! To the End of the Rainbow","https://www.tvmaze.com/episodes/256267/one-piece-3x08-and-then-the-legend-begins-to-the-end-of-the-rainbow"
144,3,9,09 Feb 03,"The Log is Taken! Salvage King, Masira!","https://www.tvmaze.com/episodes/256268/one-piece-3x09-the-log-is-taken-salvage-king-masira"
